CODE,Date,Hour,TMP,WSP,WDR
KORH,5/6/2016,14,58,12,70
KORH,5/6/2016,15,56,10,80
KORH,5/6/2016,16,52,9,80
KORH,5/6/2016,17,51,10,60
KORH,5/6/2016,18,48,9,70
KORH,5/6/2016,19,47,10,80
KORH,5/6/2016,20,45,13,70
KORH,5/6/2016,21,44,8,60
KORH,5/6/2016,22,43,7,60
KORH,5/6/2016,23,43,10,30
KPSM,5/6/2016,0,46,9,360
KPSM,5/6/2016,1,46,9,340
KPSM,5/6/2016,2,46,10,350
KPSM,5/6/2016,3,46,10,20
KPSM,5/6/2016,4,46,12,340
KPSM,5/6/2016,5,47,7,320
KPSM,5/6/2016,6,48,8,360
KPSM,5/6/2016,7,49,2,260
KPSM,5/6/2016,8,50,3,10
KPSM,5/6/2016,9,52,10,20
KPSM,5/6/2016,10,53,5,60
KPSM,5/6/2016,11,55,8,50
KPSM,5/6/2016,12,56,10,110
KPSM,5/6/2016,13,56,12,130
KPSM,5/6/2016,14,55,13,100
KPSM,5/6/2016,15,56,13,110
KPSM,5/6/2016,16,54,12,140
KPSM,5/6/2016,17,53,8,120
KPSM,5/6/2016,18,50,8,120
KPSM,5/6/2016,19,49,12,120
KPSM,5/6/2016,20,48,8,110
KPSM,5/6/2016,21,47,8,140
KPSM,5/6/2016,22,47,8,150
KPSM,5/6/2016,23,46,2,70
KPWM,5/6/2016,0,46,10,360
KPWM,5/6/2016,1,46,12,360
KPWM,5/6/2016,2,46,9,360
KPWM,5/6/2016,3,46,9,360
KPWM,5/6/2016,4,46,10,360
KPWM,5/6/2016,5,47,10,360
KPWM,5/6/2016,6,47,12,360
KPWM,5/6/2016,7,48,10,10
KPWM,5/6/2016,8,49,8,10
KPWM,5/6/2016,9,51,8,20
KPWM,5/6/2016,10,53,7,30
KPWM,5/6/2016,11,56,8,70
KPWM,5/6/2016,12,58,8,100
KPWM,5/6/2016,13,59,13,100
KPWM,5/6/2016,14,60,8,100
KPWM,5/6/2016,15,60,9,150
KPWM,5/6/2016,16,60,9,170
KPWM,5/6/2016,17,56,10,160
KPWM,5/6/2016,18,51,8,170
KPWM,5/6/2016,19,49,9,160
KPWM,5/6/2016,20,49,6,180
KPWM,5/6/2016,21,49,3,170
KPWM,5/6/2016,22,48,0,0
KPWM,5/6/2016,23,48,0,0
KBED,5/7/2016,0,46,8,40
KBED,5/7/2016,1,46,8,60
KBED,5/7/2016,2,46,3,90
KBED,5/7/2016,3,46,7,100
KBED,5/7/2016,4,46,7,40
KBED,5/7/2016,5,46,6,50
KBED,5/7/2016,6,46,8,30
KBED,5/7/2016,7,46,7,50
KBED,5/7/2016,8,46,10,40
KBED,5/7/2016,9,47,9,40
KBED,5/7/2016,10,48,10,40
KBED,5/7/2016,11,48,7,20
KBED,5/7/2016,12,49,8,50
